judul,tanggal,sentimen
Asing Terciduk Diam-Diam Borong 10 Saham Ini Kala IHSG Merah,2025/02/21,positif
Ternyata Segini Besaran Gaji Kepala Daerah Serta Tunjangannya,2025/02/21,netral
"Promosikan Koin Kripto 'Micin', Presiden Argentina Dituduh Fraud",2025/02/21,negatif
"IHSG Koreksi 2 Hari Beruntun, Asing Lepas Saham-Saham Ini",2025/02/21,negatif
"Tabungan Ludes Gara-gara Menghidupi 25 Orang, Jadikan Pelajaran!",2025/02/22,netral
Raja Rokok RI Langsung Ganti Nama Perusahaan Setelah Mimpi di Makam,2025/02/22,netral
"Lo Kheng Hong Punya Gaji Sejuta Bisa Beli Rumah Mewah, Ini Rahasianya",2025/02/22,netral
Pria Harta Rp1.900 Triliun Tetap Hormati Orang Tua dan Hidup Sederhana,2025/02/22,netral
"Anak Pejabat RI Pilih Hidup Melarat, Tak Mau Jual Nama Besar Orang Tua",2025/02/22,netral
"Modus Penipuan Ini Makan Banyak Korban, Duit Rp700 Miliar Raib",2025/02/22,negatif
"Saldo Minimum Rekening Bank Mandiri, BRI, BNI per 22 Februari 2025",2025/02/22,netral
Kisah Runtuhnya Kerajaan Bisnis Salim Setelah Berjaya 3 Dekade,2025/02/22,netral
Himbara Cetak Kinerja Solid dengan Tata Kelola yang Baik,2025/02/22,positif
"Maling M-Banking Makin Canggih Kuras Rekening, Ini 11 Tips Penting OJK",2025/02/22,netral
"Banyak Fintech Gugur, OJK Minta Bankir Segera Lakukan Ini",2025/02/22,negatif
"Pencurian Kripto Terbesar di Dunia, Rp 24,46 Triliun melayang",2025/02/22,negatif
Cara Blokir KTP yang Dipakai Pinjol Ilegal Tanpa Izin,2025/02/22,netral
Investor IKN Ungkap Nasib Proyek Triliunan di Penajam,2025/02/22,netral
"Pemilik Emas Boleh Tersenyum, Harga Emas Diprediksi Capai US$ 3.300",2025/02/22,netral
"Biar Paham! Ini Perbedaan Kartu Kredit, Paylater & Pinjol",2025/02/23,netral
"Penuh Tantangan, Ini Fondasi Resiliensi Kinerja BRI",2025/02/23,netral
"Harta Karun Rp 15 T Diambil Pemerintah, Penemu Malah Dibiarkan Melarat",2025/02/23,negatif
"Daftar Harta Presiden RI, Siapa Paling Kaya dan Miskin?",2025/02/23,netral
"Efisiensi Trump-Elon Musk Makan Korban, Proyek McKinsey Dkk Terancam",2025/02/23,negatif
Alasan Ferrari Jadi Raja Mobil Eropa: Kami Bukan Perusahaan Otomotif,2025/02/23,netral
"Kerja 5 Tahun, Anggota DPR Ternyata Dapat Uang Pensiun Seumur Hidup",2025/02/23,netral
"Prabowo Resmikan Danantara Besok, Ini Respons Jokowi Hingga Luhut",2025/02/23,netral
"Warren Buffett Tumpuk Uang Rp 5.239 T, Sudah Menyerah di Saham?",2025/02/23,netral
Pasokan AS & Meredanya Tensi Geopolitik Bikin Harga Minyak Terkoreksi,2025/02/23,positif
"Danantara Diluncurkan Besok, Ini Poin-Poin Penting BPI di UU BUMN",2025/02/23,netral
Warren Buffett Blak-blakan 7 Kebiasaan yang Bikin Orang Susah Kaya,2025/02/23,netral
"Hidup Tajir di Jakarta, Suami Istri Ketahuan Curi Rp 87 M Uang Bank",2025/02/23,negatif
"Heboh Di Medsos, Mayora Bantah Ada PHK Massal",2025/02/24,netral
"Status Dony Oskaria Rangkap Jabatan, Wamen Tiko Bilang Begini",2025/02/24,netral
"Danantara Bakal Kelola 2 Holding, Wamen Tiko: Menteri BUMN Bantu Atur",2025/02/24,netral
Bank Raya (AGRO) Kerjasama Value Chain Digital Dengan APP,2025/02/24,positif
"Kembangkan SDM, OJK Beri Sinyal Buka Lowongan Kerja Lagi?",2025/02/24,netral
"Aset Tumbuh 9,88%, Alhamdulillah Kinerja Bank Syariah Positif di 2024",2025/02/24,positif
"Danantara Kelola Aset Jumbo Negara, Pandu Sjahrir Ungkap Sumber Dana",2025/02/24,netral
"Buron Interpol, Bos Pinjol Bangkrut Nonton Balapan E1 GP di Qatar",2025/02/24,negatif
"IHSG Ditutup Melemah, Saham BREN dan AMMN Jadi Pemberat",2025/02/24,negatif
Tony Blair Ditunjuk Salah Satu Dewan Pengawas Danantara,2025/02/24,netral
"2024, Laba Maybank Indonesia (BNII) Rp 1,11 Triliun! Turun 36%",2025/02/24,negatif
"Danantara Resmi Diluncurkan, Dolar Langsung Turun ke Rp16.270",2025/02/24,positif
Danantara Buka Opsi Joint Venture Hingga Kelola Dana Asing,2025/02/24,netral
"Akhir Maret, Seluruh BUMN RI Bakal Dikelola Danantara",2025/02/24,netral
CEO Danantara Buka Suara Soal Seruan Tarik Uang di Bank BUMN,2025/02/24,netral
"Terungkap, Ini Orang Dekat Prabowo Pencetus Ide Pembentukan Danantara",2025/02/24,netral
Gimana Pembagian Peran KBUMN & Danantara? Begini Penjelasan Rosan,2025/02/24,netral
"Rosan Roeslani Bantah Danantara Kebal Hukum, KPK-BPK Bisa Periksa",2025/02/24,netral
"Harga Minyak Melemah, Pasar Tunggu Perkembangan Perang Rusia-Ukraina",2025/02/24,negatif
"Rekrut Orang Terbaik untuk Danantara, Rosan: Tidak Bisa Main-main!",2025/02/24,netral
Ini Dia Trio Bos Danantara Pilihan Presiden Prabowo Subianto,2025/02/24,netral
"Soal Tata Kelola, Rosan Ungkap Danantara Punya Struktur Berlapis",2025/02/24,netral
Rosan Roeslani Jabat CEO Danantara Sekaligus Menteri Investasi,2025/02/24,netral
"Jokowi, SBY Hingga JK Hadiri Peluncuran Danantara",2025/02/24,netral
"Soal Ajakan Tarik Dana, Ketua LPS Pastikan Uang di Bank BUMN Aman",2025/02/24,netral
"Jabat CEO, Rosan Ungkap Pesan Prabowo & Rencana Besar Danantara",2025/02/24,netral
Prabowo Ungkap Mimpi Besar Transformasi BUMN Lewat Danantara,2025/02/24,netral
"Danantara Resmi Diluncurkan, Tahap Awal Bakal Kelola 7 BUMN Ini",2025/02/24,netral
Prabowo Ingin BUMN RI Masuk Global Fortune 500,2025/02/24,netral
Prabowo Ajak Para Mantan Presiden Jadi Penasihat Danantara Indonesia,2025/02/24,netral
Deretan Konglomerat Ini Hadiri Peluncuran Danantara,2025/02/24,netral
"Susunan Organisasi Danantara Indonesia: CEO Rosan, Ketua Dewas Erick",2025/02/24,netral
"Jadi COO Danantara, Ini Profil Dony Oskaria",2025/02/24,netral
"Jadi CIO Danantara, Ini Profil Pandu Sjahrir",2025/02/24,netral
"Resmi Diluncurkan Prabowo Subianto, Ini Arti Nama Danantara",2025/02/24,netral
Prabowo Ungkap Gelombang Pertama Investasi Danantara Rp326 T,2025/02/24,netral
Prabowo Puji Bung Karno-SBY-Jokowi Saat Luncurkan Danantara Indonesia,2025/02/24,netral
Prabowo: Danantara Salah Satu Dana Kekayaan Negara Terbesar Dunia,2025/02/24,netral
Prabowo: 100 Hari Pertama Kami Amankan Lebih dari Rp300 T,2025/02/24,netral
"Ini Profil Rosan Roeslani, CEO Danantara Pilihan Prabowo",2025/02/24,netral
"Prabowo Luncurkan Danantara, Singgung Masih Ada Anak RI yang Kelaparan",2025/02/24,netral
"Apresiasi DPR, Prabowo: Tanpa Mereka Danantara Tidak Akan Terjadi",2025/02/24,netral
"Bank Jatim Buka Suara Soal Dugaan Manipulasi Kredit Rp 569,42 Miliar",2025/02/24,netral
"Naik Golf Car, SBY & Jokowi Hadiri Peluncuran Danantara",2025/02/24,netral
Sah! Prabowo Subianto Luncurkan Danantara,2025/02/24,netral
"Harga Melonjak Tajam, BEI Gembok Saham TIRA, POLU & DATA",2025/02/24,negatif
Jelang Peresmian Danantara Rupiah Dibuka Melemah! Dolar ke 16.310,2025/02/24,negatif
IHSG Dibuka Galau Jelang Peresmian Danantara Oleh Prabowo,2025/02/24,negatif
"Harga Bergerak Tak Wajar, Bursa Pantau Ketat Saham HAJJ dan PGJO",2025/02/24,negatif
"Hibank Resmi Luncurkan Aplikasi Mobile, Fokus ke Digital UMKM",2025/02/24,positif
Tugas dan Wewenang Erick Thohir Usai Danantara Resmi Beroperasi,2025/02/24,netral
Asing Terciduk Ramai-Ramai Lepas 10 Saham Ini Akhir Pekan Lalu,2025/02/24,negatif
"Kelola Dana BUMN Rp 15.000 Triliun, Ini Dia Sosok Bos-Bos Danantara",2025/02/24,netral
Prabowo Subianto Akan Resmikan BPI Danantara Hari Ini,2025/02/24,netral
"Penukaran Uang Baru BI Dimulai 3 Maret, Maksimal Rp4,3 Juta/Orang",2025/02/24,netral
BNI Asset Management Dukung Unpad Lewat Peluncuran Reksa Dana,2025/02/24,positif
BNI (BBNI) Buka Suara Soal Heboh Ajakan Tarik Dana dari Bank BUMN,2025/02/24,netral
Asing Kompak Borong 10 Saham Ini Akhir Pekan Lalu,2025/02/24,positif
"Foreign Index Futures Meluncur, Investor RI Kini Bisa Beli Saham MSCI",2025/02/25,positif
"Danantara Bakal Kelola Seluruh Aset, Begini Respons 4 Perusahaan BUMN",2025/02/25,netral
Perdagangan Bursa Karbon RI Lebih Tinggi Dari Jepang & Malaysia,2025/02/25,positif
Bos Bursa Buka Suara Soal Danantara: Efek Positif Bagi Ritel,2025/02/25,netral
BI Ungkap Transaksi Digital Warga RI Tumbuh Double Digit,2025/02/25,positif
"RI Ingin Jadi Pusat Perdagangan Karbon Dunia, Ini Tantangannya",2025/02/25,netral
BI Pede Pusat Inovasi Digital Bisa Bantu Ekonomi RI Tumbuh 8%,2025/02/25,positif
OJK Pede RI Bakal Pimpin Perdagangan Karbon Dunia,2025/02/25,positif
"Artajasa Siap Luncurkan QRIS Tap, Lakukan Langkah Ini",2025/02/25,netral
"Wajib Tahu Ini Perbedaan Paylater, Pindar & Kartu Kredit",2025/02/25,netral
"Bursa RI Jadi yang Terburuk di Asia, IHSG Ditutup Ambruk 2,41%",2025/02/25,negatif
"Laba BFI Finance (BFIN) Turun 4,8% Sepanjang 2024, Jadi Rp 1,5 T",2025/02/25,negatif
Pengamat Nilai Seruan Tarik Dana Massal di Bank Merugikan Semua Pihak,2025/02/25,netral
BEI Jajaki Kerja Sama dengan Bursa Saham Jepang Buat Bikin Ini,2025/02/25,positif
"Bursa Asia Mayoritas Merah, IHSG Paling Amburadul",2025/02/25,negatif
Mantan Menkeu Ini Pastikan BUMN Cuan di Tangan Danantara,2025/02/25,netral
"Trump Bikin Khawatir, Dolar Berbalik Naik ke Rp16.340",2025/02/25,negatif
"QRIS Tap Bisa Dipakai di Kereta, RS, Hingga Kampus, Begini Caranya!",2025/02/25,netral
"Bukti Kelas Menengah RI Makin Susah, Terlihat dari QRIS",2025/02/25,negatif
"IHSG Kebakaran, Penasihat Ekonomi Prabowo Buka Suara!",2025/02/25,netral
Emiten Anthoni Salim Melesat hingga ARA Saat IHSG Lesu,2025/02/25,positif
Starbucks Bakal PHK 1.100 Karyawan dan Batalkan Rekrutmen,2025/02/25,negatif
"Dicecar Soal Penutupan Physical Marketplace, Ini Respons Bukalapak",2025/02/25,netral
Aturan Lengkap DHE: Prabowo Tak Biarkan Dolar Eksportir Dibawa ke LN,2025/02/25,netral
"Morgan Stanley Pangkas Rating Saham RI Jadi Underweight, Ini Alasannya",2025/02/25,netral
"Dana IPO Masih Nganggur, Bukalapak (BUKA) Beri Penjelasan ke Bursa",2025/02/25,netral
Transformasi Digital Jadi Solusi Angkat Kelas Menengah,2025/02/25,positif
"Lindungi Investor Pasar Modal, OJK Luncurkan Aplikasi Ini",2025/02/25,positif
"RI Bisa Belajar dari Korsel, Negara Miskin Berubah Jadi Maju",2025/02/25,netral
"Warga RI Makin Gemar Transaksi Digital, Mobile Banking Bakal Naik 52%",2025/02/25,positif
"Tutup 2.500 Pinjol, OJK Imbau Masyarakat Bijak Lakukan Transaksi",2025/02/25,netral
OJK Ungkap Pihak yang Kecipratan Untung dari Bank Emas,2025/02/25,netral
"Ancaman Siber Makin Kompleks, OJK Ingatkan Soal Data Pribadi",2025/02/25,netral
"IHSG Kebakaran di Sesi I, Anjlok 2%!",2025/02/25,negatif
OJK Ingatkan Generasi Muda Pengguna BNPL Hal Ini,2025/02/25,netral
"Siapkan Teknologi Baru, Artajasa Dukung Industri Sistem Pembayaran",2025/02/25,positif
"Breaking! IHSG Ambruk 1,77%, Deretan Saham Ini Jadi Pemberat",2025/02/25,negatif
"Prabowo Beberkan Investasi Awal Danantara, Hilirisasi Hingga AI",2025/02/25,netral
Harga Minyak Memanas Usai AS Perketat Sanksi Iran,2025/02/25,negatif
"Pakai QRIS WHIZ di Ajaib, Bisa Belanja Sambil Investasi Saham",2025/02/25,netral
Live Now! Melirik Peluang & Tantangan Ekonomi Digital RI,2025/02/25,netral
"Tak Hanya BSI & Pegadaian, OJK Beri Sinyal Ada Bank Emas Lain di RI",2025/02/25,netral
"Harga Saham Naik Tajam, BEI Gembok Perdagangan DCII, INET, IKAN, BESS",2025/02/25,negatif
Ada Kabar Baik Buat Pelaku UMKM,2025/02/25,netral
"Ini Susunan Pengawas Danantara, Ada Erick Thohir,  SBY, hingga Jokowi",2025/02/25,netral
"Was-was Kebijakan Trump, Rupiah Melemah & Dolar Menguat ke Rp16.280",2025/02/25,negatif
"IHSG Tak Bertenaga, Dibuka Turun Tipis",2025/02/25,negatif
"Ikut Wall Street, Bursa Asia Dibuka Lesu Pagi Ini",2025/02/25,negatif
Diam-Diam Asing Banyak Beli Saham Ini,2025/02/25,positif
Tiga Bulan Lagi Emiten Crazy Rich Toto Sugiri (DCII) Mau Stock Split,2025/02/25,positif
"Resmi Diluncurkan Prabowo, Ini Filosofi Nama dan Logo Danantara",2025/02/25,netral
"Pasar Kripto Kebakaran Pagi Ini, Apa Sebabnya?",2025/02/25,negatif
"Asing Net Sell Jumbo Rp3,47 T, BBCA Banyak Dijual",2025/02/25,negatif
"Danantara Resmi Meluncur, OJK Bilang Gini",2025/02/25,netral
OJK Ungkap Manfaat Indonesia Punya Bank Emas,2025/02/26,netral
Ternyata Ini Alasan Tony Blair Masuk Dewan Pengawas Danantara,2025/02/26,netral
"Deposito Emas di Bullion Bank Bisa Dapat Bunga, Ini Mekanismenya",2025/02/26,netral
"Resmi Meluncur, Ini Target Bank Emas Pegadaian & BSI",2025/02/26,positif
Waspada! Tanda-Tanda Dompet Warga RI Kempes Muncul Lagi,2025/02/26,netral
Menteri BUMN Erick Thohir: Time to Buy Saham Pelat Merah,2025/02/26,netral
"Orang Terkaya RI Mendadak Borong 1,5 Juta Saham BREN, Ini Tujuannya",2025/02/26,positif
Bos Danantara Yakin IHSG Bakal Kembali Naik,2025/02/26,positif
"Soal Nasib INA Usai Peresmian Danantara, Ini kata Erick Thohir",2025/02/26,netral
Bos Danantara: Tidak Ada yang Kebal Hukum,2025/02/26,netral
Erick Thohir Pastikan Tak Ada Perebutan Kekuasaan di Danantara,2025/02/26,netral
"Bakal Pegang Modal Jumbo, Ini Bocoran Rencana Investasi Danantara",2025/02/26,netral
"Rosan Tegaskan Sumber Uang Danantara dari Dividen, Buka Opex BUMN",2025/02/26,netral
"Soal Pembentukan Danantara, RI Belajar dari Arab Saudi & Qatar",2025/02/26,netral
Rosan Roeslani Beberkan Arahan Presiden Prabowo Soal Danantara,2025/02/26,netral
Erick Thohir Sebut Danantara Warisan Bagi Anak Cucu,2025/02/26,netral
"Kantongi Izin E-Commerce, MPStore (MPIX) Mau Bikin Ini",2025/02/26,netral
"Berantas Kemiskinan, Pemerintah Bakal Minta Himbara Dukung Program Ini",2025/02/26,netral
"Pelaku Pasar Masih Waspada, Dolar Lanjut Naik ke Rp16.365",2025/02/26,negatif
Prabowo: Bank Emas Bakal Tambah Rp 245 Triliun ke PDB,2025/02/26,netral
"Erick Thohir Ungkap Fenomena Warga RI Rajin Simpan Emas, Tapi....",2025/02/26,netral
"Prabowo Resmikan Bank Emas, Pertama di Indonesia",2025/02/26,netral
"SDA Emas Melimpah, Gold Reserve RI Masih Kalah dari Singapura",2025/02/26,netral
J Trust Bank (BCIC) Laporkan P2P Crowde Soal Dugaan Penipuan,2025/02/26,negatif
"Bullion Bank Meluncur, Erick Thohir: Sejarah Luar Biasa Bagi RI",2025/02/26,positif
"Kantong Warga RI Menipis, Emiten Ini Jadi Korban",2025/02/26,negatif
"Entitas Grup Emtek Borong Saham Bukalapak Rp 1,34 T, Harga Diskon",2025/02/26,positif
"100% DHE SDA Harus Ada di RI, Wamenkeu: Itu Hasil Bumi Kita!",2025/02/26,netral
Bocoran Hashim: BI Siapkan Insentif Rp130 T untuk Program 3 Juta Rumah,2025/02/26,netral
"IHSG Balik Arah, Sesi I Ditutup Turun 0,37%",2025/02/26,negatif
Harga Minyak Anjlok ke Level Terendah Dua Bulan,2025/02/26,negatif
"Hashim Bocorkan Ada Perintah Khusus untuk Bank BUMN, Simak!",2025/02/26,netral
China Hingga Eropa Disebut Tertarik Jadi Investor Danantara,2025/02/26,netral
Hashim: Makan Bergizi Gratis Bukan Proyek Buat Konglomerat,2025/02/26,netral
"OJK Terbitkan Taksonomi Hijau Versi 2, Ini Isinya",2025/02/26,netral
"Soal Seruan Tarik Dana di Bank, Ini Kata Bos Danantara, BNI, dan LPS",2025/02/26,netral
"IHSG Dibuka Perkasa, Naik 1% ke Level 6.654",2025/02/26,positif
"Indeks DXY Melemah, Dolar Bertahan di Rp 16.330",2025/02/26,negatif
"Bursa Asia-Pasifik Dibuka Beragam, Investor Masih Waswas",2025/02/26,netral
Airlangga Buka-Bukaan Manfaat Bank Emas ke Ekonomi RI,2025/02/26,positif
Nasib Kementerian BUMN Usai Danantara Meluncur,2025/02/26,netral
"Badai Masih Berlanjut, Was-Was Rupiah Rawan Melemah!",2025/02/26,negatif
"Asing Terciduk Borong Saham Ini Saat IHSG Ambruk 2,4%",2025/02/26,positif
"Prabowo Resmikan Danantara, Bos Bank Mandiri Ungkap Dampaknya",2025/02/26,netral
"IHSG Dihajar Sentimen Dalam dan Luar Negeri, Asing Net Sell Rp1,6 T!",2025/02/26,negatif
Mengenal Apa Itu Bank Emas yang Mau Diluncurkan Prabowo Hari Ini,2025/02/26,netral
"Pasar Penuh Gejolak, Bos Trimegah Buka Suara",2025/02/27,netral
Prudential Syariah Pede Produk Kesehatan Berbasis Syariah Akan Gaspol,2025/02/27,positif
BEI Perpanjang Gembok Saham PP Properti (PPRO),2025/02/27,negatif
Ini Dua Aspek Kunci Kembangkan Industri Asuransi di RI,2025/02/27,netral
"Prudential Sharia Ungkap Tantangan, Inflasi Medis Sampai Daya Beli",2025/02/27,netral
"Tabungan Masyarakat Seret, Ini Respons Bankir Soal Perang Likuiditas",2025/02/27,negatif
IHSG Ambruk Tertekan Kinerja Emiten Perbankan,2025/02/27,negatif
Bank Raya (AGRO) Buka Opsi Rencana Buyback Lagi,2025/02/27,netral
"Incar Segmen Gen Z, BRI Life Siapkan Strategi Ini",2025/02/27,netral
Bos OJK Tegaskan Peran Penting Asuransi Kesehatan,2025/02/27,netral
"Banyak Tantangan, Bos Prudential Syariah Tetap Optimis. Kenapa?",2025/02/27,netral
Bos BUMN Buka Suara Soal Stok Pangan Selama Ramadan & Lebaran,2025/02/27,netral
"Rupiah Kembali Keok, Dolar Ditutup Menguat ke Rp16.445",2025/02/27,negatif
"Perusahaan Asuransi Diharapkan Mengerti Kebutuhan Pasar, Ini Alasannya",2025/02/27,netral
"Perbaiki Layanan, RS Minta Kepastian Terkait 2 Isu Ini",2025/02/27,netral
"Defend ID Raih Pendapatan Rp 26,07 Triliun Sepanjang 2024",2025/02/27,positif
Peserta Asuransi Wajib Tahu! Sepele tapi Bisa Bikin Premi Naik,2025/02/27,netral
Progres Proyek Terminal Kalibaru Tahap 1B Milik PTPP Capai 75%,2025/02/27,positif
Begini Strategi Pelaku Industri Asuransi Hadapi Over Utilisasi,2025/02/27,netral
"Bukan Cuma RI, Ini Negara-Negara yang Juga Punya Bank Emas",2025/02/27,netral
"Merasa Dicemarkan Nama Baiknya, Sumber Global Energy Gugat Danka",2025/02/27,negatif
"IHSG Babak Belur, Sektor Finansial Kena Hantam",2025/02/27,negatif
Ternyata Ini Penyebab Inflasi Medis Tinggi,2025/02/27,netral
"Inflasi Medis Melonjak, Prudential Tekan Biaya Premi Pakai Cara Ini",2025/02/27,negatif
"Inflasi Medis Tinggi, OJK Tegaskan Perlu Perbaikan Tata Kelola",2025/02/27,negatif
"Breaking! IHSG Anjlok 1,48%, Selangkah Lagi Balik ke Level 6.400",2025/02/27,negatif
OJK Buka Suara Soal Bos Pinjol Bankrut Ketahuan Nonton Balap di Qatar,2025/02/27,netral
"Bakal Ada Aturan Baru Soal Asuransi Kesehatan dari OJK, Ini Bocorannya",2025/02/27,netral
OJK Sebut Asuransi Kesehatan Butuh Perbaikan Ekosistem,2025/02/27,netral
"Soal Benahi Industri Asuransi, RI Bisa Nyontek dari Skandinavia - AS",2025/02/27,netral
"Kasus Gagal Bayar Jadi Momok, Banyak Warga Pertanyakan Peran Asuransi",2025/02/27,negatif
Begini Upaya Pemerintah Pulihkan Kepercayaan Publik ke Asuransi,2025/02/27,netral
Harga Minyak Rebound Usai Trump Cabut Lisensi Chevron di Venezuela,2025/02/27,negatif
"Uang Pensiun Babyboomers Cuma Rp4 Juta, Tua Jadi Penerima Bansos",2025/02/27,netral
"Industri Asuransi Alami Isu Serius, DPR Soroti Hal Ini",2025/02/27,negatif
Banyak Kejutan! Erick Thohir & Rosan Jawab Segudang Isu Danantara,2025/02/27,netral
"RI Punya Bank Emas Pertama, Ini Manfaat buat Ekonomi dan Masyarakat",2025/02/27,positif
Kisah Kakek Prabowo Bangun Bank Pertama RI,2025/02/27,netral
"Tekanan Jual Asing Belum Reda, IHSG Pagi Ini Turun 0,3%",2025/02/27,negatif
"Lewat Layanan Bank Emas, Grup BRI Semakin Optimis Perkuat Perekonomian",2025/02/27,positif
"Pasar Tunggu Data Inflasi AS, Dolar Kembali Naik ke Rp16.400",2025/02/27,negatif
"Punya Izin Bullion, BSI Mau Luncurkan Pembiayaan Emas",2025/02/27,positif
"IHSG Menguat Tipis, Asing Belanja Banyak Saham Ini",2025/02/27,positif
"Profil Orang Tua Prabowo Subianto, Penggagas Danantara",2025/02/27,netral
"Tekanan Jual Asing Belum Reda, BBCA Banyak Dilepas",2025/02/27,negatif
"IHSG Kebakaran, Asuransi Bisa Jadi Juru Selamat! Ini Alasannya",2025/02/28,positif
"Bukan Dolar AS, Mata Uang Ini Ternyata Banyak Dicari Warga RI",2025/02/28,netral
"Premi Asuransi Jiwa 2024 Capai Rp185,39 T, Ini Penopangnya",2025/02/28,positif
Total Komoditas Wajib Parkir Dolar Hasil Ekspor di RI Capai Ribuan,2025/02/28,netral
Aturan Main Penukaran DHE ke Rupiah & Penempatan di SVBI-SUVBI,2025/02/28,netral
"Jangan Kaget! Tarif Premi Asuransi Naik, Ini Alasannya",2025/02/28,netral
"Untung dan Rugi Nabung Emas Ditanggung Nasabah, Ini Kata Bos OJK",2025/02/28,netral
"Sekarang Bisa Nabung Emas di Bullion Bank, Apakah Dijamin LPS?",2025/02/28,netral
Kapitalisasi Pasar Saham RI Sebulan Amblas Lebih Dari Rp 1.000 Triliun,2025/02/28,negatif
"Danantara Kuasai 15% Market Cap IHSG, Bos Bursa Bilang Ini Dampaknya",2025/02/28,netral
"Laba Bersih BNI (BBNI) Tumbuh 9,7% di Januari 2025",2025/02/28,positif
"IHSG Amburadul, Bankir Kompak Bilang Gini",2025/02/28,negatif
"IHSG Kebakaran Turun 3,31%, Mayoritas Saham Merah!",2025/02/28,negatif
"Jumat Gelap! IHSG Anjlok 3,6%, Terjun ke Level 6.200-an",2025/02/28,negatif
"Dolar Tembus Rp16.575, Terparah Sepanjang Sejarah",2025/02/28,negatif
"Nusantara Sejahtera Raya (CMNA) Mau Buyback Saham, Segini Jumlahnya",2025/02/28,positif
"Mulai Besok DHE Wajib Simpan di RI, Diharapkan Bisa Bantu Rupiah",2025/02/28,netral
"Divisi Alat Berat & Otomotif Lesu, Laba Astra (ASII) Cuma Tumbuh 1%",2025/02/28,negatif
"BRI Konsisten Setor Dividen Jumbo, Negara Terima Lebih dari Rp100 T",2025/02/28,positif
"Bukan BUMN, Bos BEI Buka-Bukaan Ada Perusahaan Raksasa Mau IPO",2025/02/28,netral
"Sritex PHK Massal, Bursa Ungkap Nasib Sahamnya",2025/02/28,negatif
"Valuasi Saham BRI (BBRI) Murah Banget, Analis Bilang Time to Buy",2025/02/28,positif
"Tarif Trump Jadi Sentimen Gelap, Dolar Lanjut Melesat ke Rp16.585",2025/02/28,negatif
"Laba Emiten Cat (AVIA) Crazy Rich Surabaya Rp 1,664 T di 2024",2025/02/28,positif
"RI Punya Ekspor 'Daun Ajaib' Kratom, Begini Update Terbarunya",2025/02/28,netral
"IHSG Sampai Rupiah Anjlok, Pemerintah Buka Suara",2025/02/28,negatif
"Dana Asing Sudah Kabur Rp19 Triliun, Analis Tunjuk Trump",2025/02/28,negatif
"IHSG Anjlok Nyaris 5% & Dana Asing Kabur Rp 19 T, Dirut BEI Buka Suara",2025/02/28,negatif
"Rupiah Sentuh Level Terburuk, Bank Jual Dolar AS Rp16.700",2025/02/28,negatif
"IHSG Jeblok, Bos BEI Kumpulkan Semua Pelaku Pasar",2025/02/28,negatif
"Rupiah Tak Berdaya, Dolar Naik Sentuh Rp16.570",2025/02/28,negatif
"Airlangga Minta ATM Emas di Mal, Biar Mak-mak Gampang Transaksi",2025/02/28,netral
"Rupiah Sentuh Level Terburuk Sepanjang Sejarah, Ini Komentar 5 Ekonom",2025/02/28,negatif
"IHSG Sesi I Turun 2,86%, Nyaris Terjun ke Level 6.200-an",2025/02/28,negatif
"Bukan Main, BRI Guyur Sektor Berkelanjutan Rp 785,3 T",2025/02/28,positif
"IHSG Sudah Anjlok 10% Sebulan! Asing Kabur, Terendah Sejak Covid-19",2025/02/28,negatif
IHSG Ambruk Parah! Ini Saran Analis Buat Investor Ritel,2025/02/28,negatif
"Rupiah Anjlok Terburuk Sepanjang Sejarah, Lewati Krisis 98 & Covid",2025/02/28,negatif
"Warga RI Ngantri Ganti Mobil Jelang Lebaran, Multifinance Full Senyum",2025/02/28,positif
"IHSG Anjlok Parah, Lo Kheng Hong Malah Bilang Gini",2025/02/28,negatif
"Trump Tebar Ancaman Perang Tarif, Harga Minyak Tak Bergeming",2025/02/28,negatif
Ira Noviarti Bahas Perubahan Konsumen Asia di Harvard Business School,2025/02/28,netral
Trump Mau Bagikan US$ 5.000 ke Warga AS dari Hasil Efisiensi,2025/02/28,netral
"Dolar Melejit ke Rp 16.520, BI Ambil Sikap Agresif Selamatkan Rupiah",2025/02/28,negatif
"Pegadaian & BSI Jadi Bank Emas, Bos BRI Ungkap Dampaknya",2025/02/28,positif
"IHSG Suram! Masih Pagi Turun 1,5%, Ternyata Ini Biang Keroknya",2025/02/28,negatif
"Dolar Terbang ke Rp16.520, Posisi Terburuk Sejak 23 Maret 2020",2025/02/28,negatif
"IHSG Dibuka Ambruk 1,51%! 241 Saham di Zona Merah",2025/02/28,negatif
"Di Tengah Dinamika Pasar, BRI Fokus Kelola Risiko Jangka Panjang",2025/02/28,netral
Investor Asing Antre Masuk RI Gegara Trump,2025/02/28,positif
Bos BRI Sebut Bank Emas Bisa Tambah PDB Hingga Rp245 T,2025/02/28,positif
"Robert Kiyosaki Ramal Pasar Saham Ambruk, Begini Kondisi IHSG",2025/02/28,netral
"IHSG Ambruk 1,83%, Asing Pilih Borong 10 Saham Ini",2025/02/28,positif
CIMB Niaga (BNGA) Rencana Buyback Saham Senilai Rp450 Juta,2025/02/28,positif
"IHSG Ditekan Aksi Jual Asing, Net Sell Tembus Rp1,78 Triliun",2025/02/28,negatif
"Warga RI Rajin Simpan Emas, Erick Thohir Tunjuk Lokasinya di sini",2025/03/01,netral
Erick Thohir Minta Masyarakat Jangan Samakan Danantara dengan 1MDB,2025/03/01,netral
